n,event type,t,r,theta,phi,pr,ptheta,pphi,beta,E,dE,
484,collision,184.7076,1.0000,47.1549,35.9812,-0.4559,-0.3053,-0.0305,-39.5028,-0.0435,-2.54e-10,
485,pphi = 0,184.9290,1.0893,43.1777,34.1717,0.3636,-0.3846,0.0000,-34.1403,-0.0435,-9.77e-7,
486,beta = 0,185.6690,1.2768,29.6414,45.5234,0.1656,-0.5092,0.0400,0.0000,-0.0435,-2.57e-7,
487,pphi = 0,186.5490,1.3506,14.9983,58.5727,0.0122,-0.4801,0.0000,35.9446,-0.0435,-1.33e-6,
488,pr = 0,186.6390,1.3511,13.7235,58.4091,0.0000,-0.4715,-0.0068,37.7239,-0.0435,-5.65e-7,
489,theta = 0,187.6590,1.2660,0.0000,28.1229,-0.1893,-0.3468,-0.0959,28.1229,-0.0435,-1.15e-6,
490,phi = 0,188.1090,1.1481,-5.5997,0.0000,-0.3583,-0.3047,-0.1219,8.4062,-0.0435,-9.45e-7,
491,beta = 0,188.2690,1.0801,-7.9232,-11.9038,-0.4552,-0.2969,-0.1247,-0.0000,-0.0435,-3.52e-7,
492,collision,188.4190,1.0000,-10.3711,-22.9918,-0.5749,-0.2961,-0.1216,-7.3922,-0.0435,-4.21e-11,
493,pphi = 0,190.0948,1.4018,-31.9131,-80.5682,0.0731,-0.4238,0.0000,-31.3595,-0.0435,-5.99e-7,
494,pr = 0,190.6548,1.4224,-38.9074,-76.3218,0.0000,-0.4382,0.0234,-15.4376,-0.0435,-7.17e-7,
495,beta = 0,191.0748,1.4109,-44.0506,-69.8636,-0.0557,-0.4258,0.0289,-0.0000,-0.0435,-6.70e-7,
496,pphi = 0,192.0448,1.2895,-55.3628,-59.2336,-0.1997,-0.3109,0.0000,32.0257,-0.0435,-7.91e-7,
497,collision,192.9748,1.0000,-63.0685,-78.1978,-0.4668,-0.0619,-0.0777,29.4148,-0.0435,-3.22e-10,
498,ptheta = 0,193.1907,1.0845,-63.3856,-88.2839,0.3684,0.0000,-0.0938,20.0402,-0.0435,-3.33e-6,
499,beta = 0,193.5207,1.1856,-62.9322,-107.3078,0.2452,0.0550,-0.1027,-0.0000,-0.0435,-2.42e-6,
500,ptheta = 0,194.6507,1.3103,-60.9293,-159.5631,0.0130,0.0000,-0.0439,-56.6654,-0.0435,-1.16e-6,
501,pr = 0,194.7607,1.3110,-60.9574,-162.0538,0.0000,-0.0154,-0.0349,-59.0951,-0.0435,-1.11e-6,
502,pphi = 0,195.1707,1.3020,-61.5882,-166.1745,-0.0433,-0.0771,0.0000,-61.8399,-0.0435,-1.14e-6,
503,beta = 0,196.5507,1.1002,-70.2244,-124.5051,-0.3097,-0.1913,0.0878,-0.0000,-0.0435,-2.40e-6,
504,collision,196.8107,1.0000,-72.6238,-111.1331,-0.4283,-0.1405,0.0798,19.4503,-0.0435,-3.67e-10,
505,ptheta = 0,197.3271,1.1685,-74.4146,-93.2918,0.2588,0.0000,0.0417,41.9674,-0.0435,-5.76e-7,
506,pphi = 0,197.9271,1.2908,-72.8673,-86.4439,0.1594,0.1364,0.0000,44.7683,-0.0435,-9.21e-7,
507,pr = 0,199.1771,1.3905,-63.7801,-106.6221,0.0000,0.3083,-0.0445,2.5914,-0.0435,-5.27e-7,
508,beta = 0,199.2271,1.3903,-63.2653,-108.0537,-0.0075,0.3118,-0.0446,-0.0000,-0.0435,-5.77e-7,
509,pphi = 0,200.3871,1.2911,-51.9310,-127.7751,-0.1673,0.2886,0.0000,-43.2906,-0.0435,-6.56e-7,
510,collision,201.4071,1.0000,-42.2690,-97.0238,-0.4737,0.1575,0.1147,-30.3144,-0.0435,-2.36e-10,
511,beta = 0,201.8823,1.1583,-38.8440,-60.7758,0.2173,0.1585,0.1440,-0.0000,-0.0435,-3.47e-7,
512,pr = 0,202.4923,1.2187,-33.9785,-14.9126,0.0000,0.2595,0.1108,37.6888,-0.0435,-3.85e-6,
513,phi = 0,202.7623,1.2093,-30.9269,0.0000,-0.0671,0.3233,0.0804,47.6032,-0.0435,-3.85e-6,
514,pphi = 0,203.3223,1.1385,-21.6733,13.4259,-0.1855,0.4751,0.0000,46.3378,-0.0435,-2.84e-6,
515,collision,203.8323,1.0000,-7.6198,2.1870,-0.3800,0.6032,-0.0696,13.6336,-0.0435,-4.17e-10,
516,phi = 0,203.8985,1.0195,-5.7982,0.0000,0.3489,0.6097,-0.0729,8.7048,-0.0435,-1.15e-5,
517,beta = 0,203.9885,1.0501,-2.6927,-4.0397,0.2989,0.6145,-0.0751,-0.0000,-0.0435,-6.21e-6,
518,theta = 0,204.0785,1.0742,0.0000,-7.7306,0.2585,0.6125,-0.0735,-7.7306,-0.0435,-8.83e-6,
519,pphi = 0,204.7285,1.1721,16.4668,-23.7620,0.0682,0.4884,0.0000,-48.6358,-0.0435,-1.47e-6,
520,pr = 0,205.0985,1.1847,23.1376,-17.8096,0.0000,0.3897,0.0563,-53.0074,-0.0435,-2.50e-6,
521,phi = 0,205.4785,1.1692,28.3444,0.0000,-0.0896,0.2900,0.1093,-43.4392,-0.0435,-1.32e-6,
522,beta = 0,206.1285,1.0188,34.7454,53.8720,-0.4191,0.1482,0.1626,0.0000,-0.0435,-3.31e-6,
523,collision,206.1685,1.0000,35.0988,57.8925,-0.4543,0.1431,0.1622,3.4327,-0.0435,-3.52e-10,
524,pr = 0,207.5105,1.2074,46.2942,132.6538,0.0000,0.3063,0.0138,58.7449,-0.0435,-2.53e-6,
525,pphi = 0,207.6205,1.2066,47.6799,133.0926,-0.0153,0.3262,0.0000,56.6413,-0.0435,-2.07e-6,
526,beta = 0,208.5905,1.1084,63.0389,107.5464,-0.2169,0.3898,-0.0731,0.0001,-0.0435,-3.12e-6,
527,collision,208.9605,1.0000,69.9560,92.7560,-0.3537,0.2998,-0.0548,-31.0825,-0.0435,-5.06e-10,
528,pphi = 0,209.4968,1.1450,75.4639,84.5349,0.2147,0.1194,0.0000,-53.5185,-0.0435,-1.23e-6,
529,ptheta = 0,209.9368,1.2229,76.5072,89.4598,0.1455,0.0000,0.0380,-51.4115,-0.0435,-1.55e-6,
530,pr = 0,210.8168,1.2895,73.7444,121.9610,0.0000,-0.1575,0.0821,-11.5343,-0.0435,-1.68e-6,
531,beta = 0,210.9968,1.2863,72.6898,130.7537,-0.0348,-0.1723,0.0837,0.0000,-0.0435,-7.05e-7,
532,pphi = 0,212.2668,1.0862,65.7285,171.4370,-0.2852,-0.0491,-0.0000,57.7538,-0.0435,-2.79e-6,
533,ptheta = 0,212.4468,1.0303,65.4992,170.0908,-0.3327,0.0000,-0.0265,56.9403,-0.0435,-2.10e-6,
534,collision,212.5268,1.0000,65.5619,168.4119,-0.3609,0.0258,-0.0408,55.1159,-0.0435,-4.53e-10,
535,beta = 0,213.4314,1.1977,69.5524,122.8411,0.0869,0.1145,-0.1110,0.0000,-0.0435,-1.04e-7,
536,pr = 0,213.7714,1.2119,70.8043,102.0568,0.0000,0.0701,-0.1033,-23.8977,-0.0435,-2.82e-6,
537,ptheta = 0,214.1014,1.1997,71.2759,84.3943,-0.0724,-0.0000,-0.0837,-42.7482,-0.0435,-1.39e-6,
538,pphi = 0,214.9114,1.0800,66.9966,63.2900,-0.2229,-0.2509,0.0000,-53.3723,-0.0435,-2.68e-6,
539,collision,215.2014,1.0000,61.9444,66.8358,-0.3077,-0.3732,0.0407,-38.2812,-0.0435,-5.39e-10,
540,beta = 0,215.6803,1.1059,51.2959,83.2606,0.1498,-0.4979,0.0715,0.0001,-0.0435,-4.95e-6,
541,pr = 0,216.2603,1.1464,38.2127,102.4490,0.0000,-0.4833,0.0311,42.7496,-0.0435,-9.11e-7,
542,pphi = 0,216.4803,1.1417,33.7509,104.4719,-0.0420,-0.4447,0.0000,52.2465,-0.0435,-1.67e-6,
543,collision,217.3903,1.0000,19.1462,62.1428,-0.3474,-0.2270,-0.1661,33.1486,-0.0435,-4.74e-10,
544,beta = 0,217.7615,1.0783,15.1889,22.9191,0.0840,-0.2009,-0.1973,0.0000,-0.0435,-1.46e-5,
545,pr = 0,217.8915,1.0835,13.9335,8.9166,0.0000,-0.2122,-0.1939,-12.0882,-0.0435,-3.70e-6,
546,phi = 0,217.9715,1.0813,13.0664,0.0000,-0.0527,-0.2245,-0.1881,-19.6857,-0.0435,-9.57e-6,
547,collision,218.4015,1.0000,6.5609,-39.6873,-0.3053,-0.3525,-0.1123,-49.5394,-0.0435,-4.70e-10,
548,theta = 0,218.7168,1.0734,0.0000,-52.8392,0.1912,-0.4618,-0.0411,-52.8392,-0.0435,-6.01e-6,
549,pphi = 0,218.9268,1.1074,-4.9091,-55.2109,0.1378,-0.5225,0.0000,-47.8427,-0.0435,-1.76e-7,
550,pr = 0,219.4468,1.1449,-18.4090,-43.6807,0.0000,-0.6069,0.0657,-15.8235,-0.0435,-6.58e-6,
551,beta = 0,219.6468,1.1392,-23.5990,-35.9209,-0.0590,-0.6044,0.0714,-0.0000,-0.0435,-2.42e-6,
552,pphi = 0,220.3468,1.0206,-41.6710,-16.9269,-0.2779,-0.4257,0.0000,48.7346,-0.0435,-8.74e-6,
553,collision,220.4068,1.0000,-43.3046,-17.2118,-0.3018,-0.3938,-0.0143,51.3250,-0.0435,-5.07e-10,
554,pr = 0,221.3732,1.1499,-53.3409,-67.0145,0.0000,-0.0694,-0.1433,20.2198,-0.0435,-5.53e-6,
555,beta = 0,221.6232,1.1374,-53.8526,-88.2435,-0.1016,-0.0284,-0.1503,-0.0000,-0.0435,-5.67e-6,
556,collision,222.2032,1.0000,-54.5479,-133.8343,-0.3736,-0.0502,-0.1047,-44.2094,-0.0435,-4.65e-10,
557,pphi = 0,222.9671,1.1907,-59.0595,-154.7947,0.1742,-0.2092,0.0000,-55.9038,-0.0435,-3.50e-7,
558,pr = 0,224.0471,1.2872,-69.6795,-128.5845,0.0000,-0.2902,0.0661,-5.4300,-0.0435,-1.71e-6,
559,beta = 0,224.1371,1.2866,-70.5411,-125.2953,-0.0149,-0.2856,0.0665,-0.0000,-0.0435,-5.30e-7,
560,pphi = 0,225.3871,1.1365,-79.3361,-94.1421,-0.2229,-0.0452,0.0000,54.5576,-0.0435,-2.04e-6,
561,ptheta = 0,225.5271,1.1033,-79.4820,-94.7095,-0.2500,0.0000,-0.0143,54.4010,-0.0435,-1.93e-6,
562,collision,225.8671,1.0000,-78.2862,-101.6056,-0.3449,0.1314,-0.0550,44.1575,-0.0435,-5.23e-10,
563,beta = 0,226.4867,1.1478,-71.9237,-128.7877,0.1549,0.2748,-0.0905,-0.0000,-0.0435,-1.44e-6,
564,pr = 0,227.1867,1.1975,-64.0605,-160.0574,-0.0000,0.2405,-0.0534,-50.2085,-0.0435,-2.62e-6,
565,pphi = 0,227.6767,1.1806,-60.2128,-167.8380,-0.0661,0.1459,0.0000,-66.4878,-0.0435,-1.90e-6,
566,ptheta = 0,228.3067,1.1108,-58.2707,-153.1287,-0.1685,0.0000,0.0831,-55.8974,-0.0435,-1.62e-6,
567,collision,228.7467,1.0000,-59.2408,-124.0517,-0.3480,-0.0695,0.1384,-24.7767,-0.0435,-5.22e-10,
568,beta = 0,229.0304,1.0735,-60.2061,-101.3356,0.2000,-0.0565,0.1502,-0.0000,-0.0435,-2.40e-6,
569,ptheta = 0,229.3104,1.1120,-60.6354,-77.2942,0.0738,0.0000,0.1400,24.9669,-0.0435,-5.24e-6,
570,pr = 0,229.5204,1.1195,-60.3620,-61.5031,0.0000,0.0589,0.1222,40.1680,-0.0435,-5.15e-6,
571,pphi = 0,230.3604,1.0303,-51.7768,-29.3889,-0.2003,0.3721,0.0000,54.7976,-0.0435,-6.09e-6,
572,collision,230.4904,1.0000,-48.6795,-30.3998,-0.2391,0.4344,-0.0257,47.9078,-0.0435,-6.11e-10,
573,beta = 0,231.0646,1.0819,-32.9702,-50.9400,0.0446,0.5994,-0.0827,-0.0001,-0.0435,-6.73e-6,
574,pr = 0,231.1946,1.0847,-29.2886,-56.7893,0.0000,0.6065,-0.0797,-11.8341,-0.0435,-8.49e-6,
575,pphi = 0,231.7446,1.0357,-13.4351,-71.9146,-0.1716,0.5159,0.0000,-51.6684,-0.0435,-3.51e-6,
576,collision,231.9146,1.0000,-8.6192,-69.6308,-0.2270,0.4514,0.0457,-56.6774,-0.0435,-5.50e-10,
577,theta = 0,232.3555,1.0648,0.0000,-44.6270,0.0609,0.2994,0.1494,-44.6270,-0.0435,-1.23e-5,
578,pr = 0,232.4755,1.0685,1.6746,-33.8332,0.0000,0.2676,0.1704,-36.3454,-0.0435,-7.54e-6,
579,phi = 0,232.7855,1.0377,5.4292,0.0000,-0.2113,0.2139,0.2036,-8.1499,-0.0435,-1.23e-5,
580,beta = 0,232.8655,1.0177,6.3615,9.5520,-0.2803,0.2094,0.2053,0.0000,-0.0435,-1.76e-5,
581,collision,232.9155,1.0000,7.0412,16.3412,-0.3332,0.2092,0.2044,5.7661,-0.0435,-5.34e-10,
582,pr = 0,233.4371,1.0738,13.4100,68.3758,0.0000,0.2939,0.1378,48.1678,-0.0435,-1.65e-6,
583,pphi = 0,234.0371,1.0141,25.5684,93.0714,-0.1828,0.4839,-0.0000,54.0494,-0.0435,-9.53e-6,
584,collision,234.0971,1.0000,27.6063,92.7101,-0.2052,0.5067,-0.0173,50.4511,-0.0435,-6.47e-10,
585,beta = 0,234.6962,1.0619,44.8280,71.2559,0.0012,0.5601,-0.0870,0.0001,-0.0435,-8.99e-6,
586,pr = 0,234.7062,1.0619,44.9217,71.0920,0.0000,0.5597,-0.0870,-0.3322,-0.0435,-1.06e-6,
587,collision,235.3062,1.0000,60.3380,48.1599,-0.1913,0.3620,-0.0261,-53.4596,-0.0435,-7.20e-10,
588,pphi = 0,235.4580,1.0260,63.0709,47.0477,0.1571,0.2922,0.0000,-60.5704,-0.0435,-6.20e-7,
589,ptheta = 0,236.1880,1.0897,68.3029,70.3255,0.0092,0.0000,0.1057,-49.4654,-0.0435,-5.22e-6,
590,pr = 0,236.2180,1.0898,68.2937,72.3581,0.0000,-0.0116,0.1095,-47.4105,-0.0435,-4.57e-6,
591,beta = 0,236.7680,1.0372,65.7442,113.7197,-0.2137,-0.1553,0.1454,0.0000,-0.0435,-5.73e-6,
592,collision,236.8980,1.0000,64.4214,125.8842,-0.2934,-0.1677,0.1416,15.2136,-0.0435,-6.75e-10,
593,ptheta = 0,237.7871,1.1144,59.7253,172.4568,0.0326,0.0000,0.0315,72.1508,-0.0435,-3.66e-6,
594,pphi = 0,237.9971,1.1185,60.0127,174.3327,0.0072,0.0604,-0.0000,73.4120,-0.0435,-2.03e-6,
595,pr = 0,238.0571,1.1187,60.2044,174.1744,0.0000,0.0779,-0.0091,72.8424,-0.0435,-2.56e-6,
596,beta = 0,239.1271,1.0022,70.7593,125.8417,-0.2887,0.2469,-0.1226,0.0001,-0.0435,-5.20e-6,
597,collision,239.1271,1.0000,70.8671,125.3040,-0.2926,0.2458,-0.1226,-0.8084,-0.0435,-6.76e-10,
598,ptheta = 0,239.9831,1.1181,76.7702,78.8524,0.0361,0.0000,-0.0541,-62.7351,-0.0435,-1.50e-6,
599,pr = 0,240.2431,1.1226,76.2413,73.0462,0.0000,-0.0898,-0.0240,-67.1033,-0.0435,-2.20e-6,
600,pphi = 0,240.4531,1.1200,75.0794,71.6426,-0.0254,-0.1607,0.0000,-65.3823,-0.0435,-1.61e-6,
601,beta = 0,241.4131,1.0082,59.5843,100.0054,-0.2568,-0.4575,0.0859,0.0002,-0.0435,-7.64e-6,
602,collision,241.4331,1.0000,58.7667,101.5439,-0.2708,-0.4622,0.0857,3.2711,-0.0435,-6.81e-10,
603,pphi = 0,242.2016,1.1079,41.7564,124.2273,0.0521,-0.3839,0.0000,58.4166,-0.0435,-4.95e-6,
604,pr = 0,242.5016,1.1158,36.9738,119.7579,0.0000,-0.3085,-0.0528,62.1568,-0.0435,-3.55e-6,
605,collision,243.3416,1.0000,28.1978,58.2643,-0.3635,-0.1488,-0.1861,15.0599,-0.0435,-5.91e-10,
606,beta = 0,243.5063,1.0470,26.9071,41.1450,0.2377,-0.1553,-0.1921,0.0000,-0.0435,-1.20e-5,
607,pr = 0,243.8863,1.0894,23.3959,1.3823,0.0000,-0.2294,-0.1640,-34.2202,-0.0435,-7.71e-6,
608,phi = 0,243.9063,1.0894,23.2305,0.0000,-0.0075,-0.2336,-0.1620,-35.3433,-0.0435,-8.58e-6,
609,collision,244.5363,1.0000,11.7265,-37.3094,-0.2500,-0.4697,-0.0259,-54.9612,-0.0435,-6.46e-10,
610,pphi = 0,244.6550,1.0236,8.9413,-38.0462,0.2166,-0.5114,0.0000,-51.4856,-0.0435,-5.89e-6,
611,theta = 0,244.9550,1.0753,0.0000,-32.3529,0.1182,-0.6048,0.0597,-32.3529,-0.0435,-5.13e-6,
612,pr = 0,245.2850,1.0950,-9.9540,-18.0151,0.0000,-0.6390,0.0859,-3.0462,-0.0435,-1.04e-5,
613,beta = 0,245.3150,1.0948,-10.9278,-16.4419,-0.0120,-0.6382,0.0861,-0.0000,-0.0435,-6.56e-6,
614,phi = 0,245.6950,1.0644,-22.1545,0.0000,-0.1476,-0.5756,0.0580,33.6617,-0.0435,-8.60e-6,
615,pphi = 0,245.9950,1.0046,-30.5951,5.4331,-0.2459,-0.4624,0.0000,52.4980,-0.0435,-1.15e-5,
616,collision,246.0050,1.0000,-31.0800,5.4115,-0.2520,-0.4539,-0.0044,53.2634,-0.0435,-6.81e-10,
617,phi = 0,246.2795,1.0571,-36.8275,0.0000,0.1746,-0.3369,-0.0641,57.3545,-0.0435,-2.59e-6,
618,pr = 0,246.8095,1.1064,-42.9259,-33.0185,0.0000,-0.1522,-0.1484,34.8482,-0.0435,-6.12e-6,
619,beta = 0,247.2095,1.0664,-44.8949,-71.3759,-0.2095,-0.0621,-0.1735,-0.0000,-0.0435,-4.83e-6,
620,collision,247.4395,1.0000,-45.5458,-94.0687,-0.3648,-0.0489,-0.1628,-21.5187,-0.0435,-6.21e-10,
621,pphi = 0,248.5912,1.1624,-52.9612,-149.0666,0.0227,-0.2695,0.0000,-62.5775,-0.0435,-2.94e-6,
622,pr = 0,248.7512,1.1643,-54.9237,-148.0693,0.0000,-0.3031,0.0212,-57.6928,-0.0435,-1.80e-6,
623,beta = 0,249.5912,1.0966,-67.9130,-118.8507,-0.1864,-0.3636,0.0837,-0.0001,-0.0435,-3.50e-6,
624,collision,249.9612,1.0000,-74.4025,-101.7714,-0.3204,-0.2741,0.0648,33.4558,-0.0435,-6.79e-10,
625,pphi = 0,250.5779,1.1445,-79.5244,-90.5605,0.1765,-0.0634,0.0000,58.6697,-0.0435,-9.81e-7,
626,ptheta = 0,250.7979,1.1788,-79.8104,-91.8269,0.1449,0.0000,-0.0203,58.2108,-0.0435,-1.60e-6,
627,pr = 0,251.7079,1.2483,-76.0652,-120.0774,0.0000,0.1976,-0.0793,19.5953,-0.0435,-1.26e-6,
628,beta = 0,251.9879,1.2402,-73.7958,-133.6302,-0.0573,0.2267,-0.0839,-0.0000,-0.0435,-7.21e-7,
629,pphi = 0,253.1079,1.0409,-64.5339,-169.8667,-0.3054,0.1034,0.0000,-58.9391,-0.0435,-3.53e-6,
630,collision,253.2279,1.0000,-63.9490,-169.1078,-0.3418,0.0641,0.0214,-59.5119,-0.0435,-6.08e-10,
631,ptheta = 0,253.4614,1.0688,-63.5769,-163.9903,0.2771,0.0000,0.0572,-55.2357,-0.0435,-4.27e-6,
632,beta = 0,254.3414,1.2049,-65.7717,-113.7838,0.0265,-0.0686,0.1195,-0.0000,-0.0435,-7.94e-7,
633,pr = 0,254.4414,1.2061,-66.0051,-107.4628,0.0000,-0.0590,0.1189,6.8655,-0.0435,-2.14e-6,
634,ptheta = 0,254.7814,1.1895,-66.4479,-85.0103,-0.0946,0.0000,0.1058,30.3561,-0.0435,-3.14e-6,
635,collision,255.6814,1.0000,-60.3416,-52.6238,-0.3286,0.3049,0.0025,49.0033,-0.0435,-6.37e-10,
636,pphi = 0,255.7091,1.0050,-60.0691,-52.6138,0.3234,0.3120,0.0000,48.4278,-0.0435,-6.91e-6,
637,beta = 0,256.4691,1.1652,-44.4439,-70.5668,0.1067,0.5184,-0.0623,-0.0001,-0.0435,-3.83e-6,
638,pr = 0,256.9091,1.1882,-34.7707,-84.7197,0.0000,0.5213,-0.0416,-30.8056,-0.0435,-7.00e-8,
639,pphi = 0,257.2791,1.1751,-27.3812,-89.3378,-0.0708,0.4743,0.0000,-47.4378,-0.0435,-1.37e-6,
640,collision,258.1891,1.0000,-11.4184,-48.9416,-0.3874,0.2649,0.1585,-31.7568,-0.0435,-5.55e-10,
641,beta = 0,258.5769,1.0946,-6.7511,-10.1384,0.1211,0.2295,0.1897,-0.0000,-0.0435,-1.06e-5,
642,phi = 0,258.6769,1.1031,-5.7251,0.0000,0.0614,0.2340,0.1880,8.5948,-0.0435,-3.51e-6,
643,pr = 0,258.7769,1.1062,-4.5951,10.7275,0.0000,0.2441,0.1824,17.6239,-0.0435,-6.81e-6,
644,theta = 0,259.1269,1.0728,-0.0000,43.1927,-0.1844,0.3155,0.1364,43.1927,-0.0435,-7.72e-7,
645,collision,259.4069,1.0000,5.6086,60.8378,-0.3133,0.4119,0.0710,52.4181,-0.0435,-6.01e-10,
646,pphi = 0,259.7287,1.0804,13.2855,66.8655,0.2069,0.5120,0.0000,46.8468,-0.0435,-7.01e-6,
647,beta = 0,260.4387,1.1574,31.3175,48.2380,0.0082,0.5783,-0.0687,0.0001,-0.0435,-5.87e-6,
648,pr = 0,260.4687,1.1575,32.0413,47.0839,0.0000,0.5758,-0.0686,-2.3342,-0.0435,-5.89e-6,
649,pphi = 0,261.2287,1.0826,48.9664,28.1246,-0.1892,0.3889,0.0000,-50.7193,-0.0435,-5.56e-6,
650,collision,261.5687,1.0000,54.8423,34.1572,-0.2837,0.2389,0.0619,-56.0565,-0.0435,-6.78e-10,
651,ptheta = 0,262.2477,1.1123,58.5201,76.4886,0.0463,0.0000,0.1467,-21.2655,-0.0435,-3.93e-6,
652,pr = 0,262.3577,1.1149,58.4583,85.9489,0.0000,-0.0233,0.1518,-11.6754,-0.0435,-4.86e-6,
653,beta = 0,262.4877,1.1113,58.2576,97.2037,-0.0558,-0.0430,0.1539,0.0000,-0.0435,-6.23e-7,
654,collision,263.0677,1.0000,56.9534,143.7566,-0.3215,-0.0097,0.1043,49.2587,-0.0435,-6.75e-10,
655,ptheta = 0,263.1081,1.0121,56.9427,145.9854,0.3050,0.0000,0.0976,51.5094,-0.0435,-1.29e-6,
656,pphi = 0,263.7481,1.1501,59.3926,162.8255,0.1566,0.1630,0.0000,63.2282,-0.0435,-1.07e-6,
657,pr = 0,264.6581,1.2262,68.1133,138.1453,0.0000,0.2839,-0.0795,18.8122,-0.0435,-2.00e-6,
658,beta = 0,264.9181,1.2193,70.8610,126.0970,-0.0543,0.2757,-0.0839,0.0000,-0.0435,-2.23e-6,
659,ptheta = 0,266.0181,1.0256,78.7103,89.8264,-0.2997,0.0000,-0.0059,-57.1187,-0.0435,-3.75e-6,
660,pphi = 0,266.0581,1.0128,78.6892,89.7549,-0.3108,-0.0183,0.0000,-57.1313,-0.0435,-1.72e-6,
661,collision,266.0881,1.0000,78.6265,89.8219,-0.3221,-0.0367,0.0059,-56.8893,-0.0435,-6.78e-10,
662,beta = 0,267.1174,1.2003,69.4798,122.6623,0.0771,-0.3074,0.0819,0.0000,-0.0435,-8.41e-7,
663,pr = 0,267.4774,1.2138,65.0684,138.8105,0.0000,-0.3139,0.0724,26.6559,-0.0435,-2.16e-6,
664,pphi = 0,268.2474,1.1627,56.7863,156.8543,-0.1260,-0.2055,0.0000,62.6996,-0.0435,-2.47e-6,
665,collision,269.0274,1.0000,52.7710,130.0741,-0.3294,-0.0138,-0.1233,43.9568,-0.0435,-6.76e-10,
666,ptheta = 0,269.1148,1.0239,52.7425,124.3324,0.2892,0.0000,-0.1351,38.2708,-0.0435,-9.10e-6,
667,beta = 0,269.5448,1.1007,52.9830,86.5319,0.0720,0.0030,-0.1640,0.0000,-0.0435,-9.04e-6,
668,ptheta = 0,269.5648,1.1022,52.9847,84.3792,0.0607,0.0000,-0.1639,-2.1560,-0.0435,-7.17e-6,
669,pr = 0,269.6948,1.1060,52.9245,72.5672,0.0000,-0.0216,-0.1608,-13.8503,-0.0435,-8.41e-6,
670,collision,270.3948,1.0000,48.1799,21.7625,-0.2838,-0.2678,-0.0695,-55.6149,-0.0435,-6.79e-10,
671,pphi = 0,270.7689,1.0845,41.4565,14.6989,0.1814,-0.4228,0.0000,-50.5880,-0.0435,-1.96e-6,
672,pr = 0,271.4689,1.1509,24.9711,32.4442,0.0000,-0.5947,0.0715,-5.6345,-0.0435,-7.32e-7,
673,beta = 0,271.5389,1.1502,23.1910,35.2815,-0.0205,-0.6002,0.0722,0.0000,-0.0435,-3.37e-6,
674,pphi = 0,272.2389,1.0633,4.7613,54.3797,-0.2285,-0.5169,0.0000,47.2337,-0.0435,-8.13e-6,
675,theta = 0,272.4189,1.0156,0.0000,52.2376,-0.2906,-0.4550,-0.0420,52.2376,-0.0435,-4.70e-6,
676,collision,272.4689,1.0000,-1.3020,50.7931,-0.3111,-0.4348,-0.0554,52.7461,-0.0435,-6.18e-10,
677,pr = 0,273.1593,1.1128,-12.3975,1.2321,0.0000,-0.2375,-0.1773,19.9017,-0.0435,-8.54e-6,
678,phi = 0,273.1693,1.1127,-12.5298,0.0000,-0.0068,-0.2356,-0.1783,18.8705,-0.0435,-1.13e-5,
679,beta = 0,273.3793,1.0982,-14.7258,-22.2123,-0.1338,-0.2140,-0.1866,-0.0000,-0.0435,-1.23e-5,
680,collision,273.7493,1.0000,-18.9709,-60.3514,-0.3950,-0.2389,-0.1564,-31.6279,-0.0435,-5.80e-10,
681,pphi = 0,274.7114,1.1866,-33.8021,-101.1528,0.0792,-0.4390,0.0000,-48.8429,-0.0435,-2.84e-6,
682,pr = 0,275.1414,1.2040,-41.7981,-95.1052,0.0000,-0.4886,0.0453,-29.2214,-0.0435,-1.62e-6,
683,beta = 0,275.5714,1.1840,-50.2157,-81.1986,-0.0958,-0.4808,0.0622,-0.0000,-0.0435,-1.28e-6,
684,pphi = 0,276.3814,1.0211,-64.9639,-61.8561,-0.3081,-0.2649,0.0000,50.0578,-0.0435,-5.76e-7,
685,collision,276.4414,1.0000,-65.8946,-62.0488,-0.3287,-0.2348,-0.0103,52.0213,-0.0435,-6.87e-10,
686,ptheta = 0,277.0976,1.1566,-69.4486,-81.8987,0.1617,0.0000,-0.0883,40.6867,-0.0435,-2.93e-6,
687,beta = 0,277.7076,1.2071,-67.8695,-118.7462,0.0011,0.1106,-0.1144,-0.0000,-0.0435,-3.12e-6,
688,pr = 0,277.7176,1.2071,-67.8518,-119.0139,0.0000,0.1110,-0.1144,-0.3104,-0.0435,-9.06e-7,
689,ptheta = 0,278.7576,1.0638,-64.0313,-171.0641,-0.2637,0.0000,-0.0324,-61.2815,-0.0435,-1.32e-6,
690,pphi = 0,278.9576,1.0078,-64.3434,-172.9184,-0.3127,-0.0608,0.0000,-62.4259,-0.0435,-4.73e-6,
691,collision,278.9676,1.0000,-64.4345,-172.8879,-0.3197,-0.0693,0.0045,-62.1874,-0.0435,-6.78e-10,
692,beta = 0,280.0461,1.1959,-72.9494,-131.4247,0.0496,-0.2127,0.0987,-0.0000,-0.0435,-3.15e-6,
693,pr = 0,280.2561,1.2010,-74.6118,-119.9051,0.0000,-0.1905,0.0957,15.8761,-0.0435,-1.82e-6,
694,ptheta = 0,281.0461,1.1351,-78.0614,-86.8349,-0.1563,0.0000,0.0397,58.3042,-0.0435,-2.39e-6,
695,pphi = 0,281.3961,1.0705,-77.0758,-82.7520,-0.2171,0.1223,0.0000,59.6710,-0.0435,-3.42e-6,
